-12.09201614;-77.05290269;116;716;10;0;0;-78;NR;NSA;636666;190
-12.0920696;-77.05290613;117;716;10;13091;182178918;-87;LTE;LTE;675;190
-12.09233559;-77.05303237;115;716;10;13091;182178918;-91;LTE;LTE;675;190
-12.09269942;-77.05323416;115;716;10;13091;201211239;-79;LTE;LTE;675;449
-12.09309127;-77.0532697;115;716;10;13091;201211239;-71;LTE;LTE;675;449
-12.09335726;-77.05285831;114;716;10;13091;201211239;-66;LTE;LTE;675;449
-12.09416026;-77.05165532;110;716;10;13091;201211240;-74;LTE;LTE;675;447
-12.09418145;-77.05163531;109;716;10;0;0;-69;NR;NSA;636666;447
-12.09418145;-77.05163531;109;716;10;13091;201211240;-70;LTE;LTE;675;447
-12.09453043;-77.0511125;109;716;10;0;0;-69;NR;NSA;636666;447
-12.09459587;-77.05101212;109;716;10;13091;201211240;-71;LTE;LTE;675;447
-12.09476383;-77.0506361;110;716;10;0;0;-69;NR;NSA;636666;447
-12.09472102;-77.05035246;110;716;10;13091;201211240;-63;LTE;LTE;675;447
-12.09455857;-77.04921058;112;716;10;0;0;-70;NR;NSA;636666;22
-12.09445466;-77.04847601;113;716;10;13791;201144011;-74;LTE;LTE;2825;22
-12.09438557;-77.04811314;117;716;10;0;0;-70;NR;NSA;636666;22
-12.09437397;-77.04802728;118;716;10;13791;201144011;-70;LTE;LTE;2825;22
-12.09433471;-77.04772051;91;716;10;13791;201144011;-66;LTE;LTE;2825;22
-12.09436953;-77.04773178;115;716;10;0;0;-73;NR;NSA;636666;22
-12.09435839;-77.0476872;116;716;10;13791;201144011;-70;LTE;LTE;2825;22
-12.09431943;-77.04749308;117;716;10;13791;201144011;-68;LTE;LTE;2825;22
-12.09423049;-77.04689265;120;716;10;13791;201144011;-71;LTE;LTE;2825;22
-12.09421741;-77.04679995;120;716;10;0;0;-64;NR;NSA;636666;22
-12.09417893;-77.04650675;121;716;10;13791;201144011;-74;LTE;LTE;2825;22
-12.09411142;-77.04602042;121;716;10;13791;201144011;-80;LTE;LTE;2825;22
-12.09406864;-77.0457302;122;716;10;13791;201144010;-79;LTE;LTE;2825;23
-12.09391833;-77.04467935;124;716;10;0;0;-64;NR;NSA;636666;23
-12.09391833;-77.04467935;124;716;10;13791;201144010;-84;LTE;LTE;2825;23
-12.09380944;-77.04385614;126;716;10;13791;201144010;-84;LTE;LTE;2825;23
-12.09362819;-77.04268301;111;716;10;13791;199752395;-90;LTE;LTE;2825;360
-12.09324504;-77.03980439;138;716;10;13791;199870665;-89;LTE;LTE;2825;19
-12.09309565;-77.03877174;135;716;10;13791;199870665;-92;LTE;LTE;2825;19
-12.09304123;-77.03843437;134;716;10;13791;200204491;-89;LTE;LTE;2825;398
-12.09298148;-77.03797333;135;716;10;0;0;-67;NR;NSA;636666;398
-12.09309565;-77.03877174;135;716;10;13791;199870665;-92;LTE;LTE;2825;19
-12.09298148;-77.03797333;135;716;10;13791;200204491;-84;LTE;LTE;2825;398
-12.09289319;-77.0373259;138;716;10;13791;200204491;-77;LTE;LTE;2825;398
-12.09287711;-77.03712618;140;716;10;0;0;-67;NR;NSA;636666;398
-12.09285708;-77.0370219;139;716;10;13791;200204491;-64;LTE;LTE;2825;398
-12.09285257;-77.0369403;138;716;10;13791;200204491;-69;LTE;LTE;2825;398
-12.09279009;-77.03629031;138;716;10;13791;200204491;-78;LTE;LTE;2825;398
-12.09275357;-77.03603687;137;716;10;13791;200204491;-79;LTE;LTE;2825;398
-12.09271852;-77.03574487;138;716;10;13791;200204490;-73;LTE;LTE;2825;396
-12.09269842;-77.03555668;139;716;10;13791;200204490;-71;LTE;LTE;2825;396
-12.09267997;-77.03549147;138;716;10;13791;200204490;-72;LTE;LTE;2825;396
-12.09267699;-77.03546712;138;716;10;0;0;-63;NR;NSA;636666;396
-12.09266425;-77.03537037;138;716;10;13791;200204490;-68;LTE;LTE;2825;396
-12.09264037;-77.03523575;138;716;10;13791;200204490;-70;LTE;LTE;2825;396
-12.09259071;-77.03506295;137;716;10;13791;200204490;-74;LTE;LTE;2825;396
-12.09255214;-77.03475387;137;716;10;13791;200204490;-82;LTE;LTE;2825;396
-12.09250615;-77.0346168;139;716;10;0;0;-79;NR;NSA;636666;396
-12.09250489;-77.03459933;139;716;10;13791;200204490;-85;LTE;LTE;2825;396
-12.09249157;-77.03439313;138;716;10;0;0;-71;NR;NSA;636666;147
-12.09250053;-77.03452878;139;716;10;13791;199765961;-80;LTE;LTE;2825;329
-12.09249157;-77.03439313;138;716;10;13791;199765962;-83;LTE;LTE;2825;147
-12.09247449;-77.03394812;138;716;10;13791;199765962;-88;LTE;LTE;2825;147
