Longitud,Latitud,RSRP
"-77,04671061","-12,09406522",-67
"-77,04696811","-12,09410384",-68
"-77,04761801","-12,09418034",-74
"-77,04855231","-12,09430972",-86
"-77,0488208","-12,09435068",-95
"-77,0490801","-12,09438259",-98
"-77,04913762","-12,09439358",-93
"-77,04928396","-12,09444514",-91
"-77,04931977","-12,09445066",-93
"-77,04939663","-12,09445857",-99
"-77,04943852","-12,09445627",-96
"-77,04971811","-12,09448335",-91
"-77,04971811","-12,09448335",-91
"-77,049593","-12,09447175",-98
"-77,04987436","-12,09450207",-92
"-77,05010395","-12,09453835",-90
"-77,05039539","-12,09457414",-85
"-77,05053915","-12,09459878",-90
"-77,05058575","-12,09459659",-68
"-77,05102915","-12,09438241",-68
"-77,0515369","-12,09404689",-68
"-77,05204317","-12,09371939",-79
"-77,05226592","-12,09356352",-79
"-77,05204317","-12,09371939",-79
"-77,05257557","-12,09336026",-77
"-77,05281599","-12,09319915",-79
"-77,05288342","-12,09315756",-60
"-77,05303855","-12,0930454",-82
"-77,05306904","-12,09290068",-83
"-77,052982","-12,09229289",-88
"-77,05328512","-12,09292529",-78
"-77,05354097","-12,09341737",-67
"-77,05376063","-12,09385884",-96
"-77,05426348","-12,0948397",-103
"-77,05440651","-12,09526262",-104
"-77,05388905","-12,09527368",-98
"-77,04540299","-12,09405501",-83
"-77,04500707","-12,09399793",-71
"-77,04480491","-12,09395651",-81
"-77,0441716","-12,09387502",-86
"-77,04324352","-12,09376316",-87
"-77,04276791","-12,09369483",-88
"-77,04276791","-12,09369483",-97
"-77,04219434","-12,09361587",-87
"-77,04209404","-12,09360241",-87
"-77,04052039","-12,09336135",-94
"-77,03840574","-12,09310859",-103
"-77,03840574","-12,09310859",-94
"-77,03851555","-12,09311983",-94
"-77,03811107","-12,09307716",-102
"-77,03816076","-12,09308196",-92
"-77,03779536","-12,09304018",-98
"-77,03779536","-12,09304018",-86
"-77,03772252","-12,09301876",-87
"-77,03757242","-12,09298893",-91
"-77,03750031","-12,09297764",-79
"-77,03611239","-12,09274977",-69
"-77,03611284","-12,09274038",-62
"-77,03600353","-12,09272775",-79
"-77,03611284","-12,09274038",-81
"-77,03580186","-12,09271613",-81
"-77,03515713","-12,09264772",-74
"-77,03535409","-12,09267383",-68
"-77,03476822","-12,09257724",-78
"-77,03474958","-12,09258114",-78
"-77,03462164","-12,09254762",-76
"-77,03462164","-12,09254762",-72
"-77,03448179","-12,09252779",-81
"-77,0344023","-12,09251631",-83
"-77,03445638","-12,09252528",-78
"-77,03428106","-12,09249964",-86
"-77,03437275","-12,09251215",-72
"-77,03445638","-12,09252528",-78
"-77,03417058","-12,0924947",-90
"-77,03288084","-12,09226811",-67
"-77,03285439","-12,0922676",-88
"-77,03209931","-12,09217269",-62
"-77,032063","-12,09216902",-70
"-77,02995443","-12,09189335",-73
"-77,02982727","-12,09187909",-73
"-77,02966742","-12,09187226",-69
"-77,02944335","-12,09179965",-74
"-77,02854731","-12,0916686",-92
"-77,02854731","-12,0916686",-72
"-77,02845006","-12,09167376",-68
"-77,0281393","-12,09165584",-67
"-77,02798764","-12,09161839",-92
"-77,02798764","-12,09161839",-78
"-77,0277624","-12,09158906",-83
"-77,02759594","-12,09156282",-92
"-77,02743816","-12,091543",-68
"-77,02764279","-12,09156978",-88
"-77,02588472","-12,09131773",-83
"-77,02581692","-12,09130885",-81
"-77,02546512","-12,09126027",-79
